store_id,region,city,area_type,footfall,avg_temperature,population_density,income_level,school_distance,highway_distance,cooler_capacity,cluster_label
S0001,East,Kolkata,Near Schools,151,33.2,104886,3,0.71,3.01,330,A
S0002,South,Chennai,Residential,271,41.8,264176,5,0.61,1.57,710,A
S0003,West,Ahmedabad,Near Schools,443,31.3,81551,2,0.65,1.48,220,C
S0004,South,Bangalore,Industrial,93,37.8,257624,3,0.72,1.36,1155,A
S0005,North,Lucknow,Near Schools,285,28.6,250551,5,0.68,0.04,1329,C
S0006,North,Lucknow,Residential,297,29.9,87065,7,0.67,2.32,1494,A
S0007,East,Kolkata,Hot Climate,287,36.4,132798,6,0.78,2.09,387,C
S0008,North,Delhi,Hot Climate,144,20.3,314712,9,0.03,1.2,1286,E
S0009,North,Lucknow,Near Schools,368,33.3,184633,8,0.86,2.24,400,D
S0010,South,Bangalore,Hot Climate,178,33.0,323109,4,0.22,3.07,842,D
S0011,South,Hyderabad,Near Schools,472,35.6,268969,3,0.05,1.72,1063,D
S0012,West,Mumbai,Industrial,301,23.1,252982,6,0.03,2.19,724,A
S0013,East,Patna,Industrial,145,33.7,485773,2,0.56,1.04,1454,E
S0014,North,Delhi,Near Schools,200,38.0,105016,4,0.6,1.77,848,C
S0015,North,Lucknow,Residential,251,25.4,385674,7,0.72,0.54,1336,A
S0016,South,Chennai,Residential,466,26.6,266688,9,0.64,1.57,841,B
S0017,East,Kolkata,Urban,464,25.3,268164,5,1.39,0.06,446,D
S0018,East,Patna,Urban,334,37.7,418452,5,0.58,2.22,951,D
S0019,North,Lucknow,Hot Climate,338,33.0,368394,5,0.6,1.63,346,B
S0020,East,Kolkata,Urban,207,31.4,323255,2,1.07,2.87,350,C
S0021,South,Hyderabad,Industrial,223,38.0,157512,5,0.04,2.18,453,E
S0022,North,Lucknow,Urban,312,27.7,65151,9,0.85,3.22,786,E
S0023,West,Pune,Industrial,333,20.2,183629,2,0.67,0.78,1021,C
S0024,North,Delhi,Industrial,240,20.4,403556,9,0.91,3.27,1358,D
S0025,West,Mumbai,Industrial,450,34.0,460645,7,0.73,2.06,762,E
S0026,East,Patna,Residential,356,31.1,483006,9,0.45,2.5,1015,B
S0027,East,Kolkata,Urban,251,40.7,355628,7,0.51,2.71,1260,E
S0028,North,Chandigarh,Hot Climate,174,41.2,497456,5,0.26,0.49,1384,B
S0029,West,Pune,Urban,302,38.6,415890,9,0.14,3.39,354,B
S0030,South,Bangalore,Urban,472,35.5,417654,6,0.33,0.31,1120,D
S0031,West,Pune,Urban,115,37.6,314512,9,0.98,2.65,1171,E
