store_id,city,region,cluster_label,cluster_persona,footfall,avg_temperature,income_level,area_type,total_sales_value,total_sales_units
S0085,Bhubaneswar,East,A,High Footfall + Urban + High Income,470,36.1,8,Near Schools,1156397.74,17004
S0016,Chennai,South,A,High Footfall + Urban + High Income,466,26.6,9,Residential,1142366.28,17049
S0116,Lucknow,North,A,High Footfall + Urban + High Income,450,40.3,8,Urban,1091893.05,16294
S0096,Ahmedabad,West,A,High Footfall + Urban + High Income,439,31.0,9,Hot Climate,1074542.38,15990
S0120,Chandigarh,North,A,High Footfall + Urban + High Income,397,30.6,9,Urban,971081.9,14413
S0097,Pune,West,A,High Footfall + Urban + High Income,384,20.8,9,Hot Climate,925210.05,13953
S0009,Lucknow,North,A,High Footfall + Urban + High Income,368,33.3,8,Near Schools,907169.85,13324
S0072,Kolkata,East,A,High Footfall + Urban + High Income,373,31.7,9,Residential,903285.53,13532
S0026,Patna,East,A,High Footfall + Urban + High Income,356,31.1,9,Residential,889629.79,13251
S0045,Bangalore,South,A,High Footfall + Urban + High Income,347,29.4,8,Hot Climate,866100.52,12823
S0076,Bhubaneswar,East,A,High Footfall + Urban + High Income,326,21.1,9,Urban,789379.99,11699
S0022,Lucknow,North,A,High Footfall + Urban + High Income,312,27.7,9,Urban,775426.36,11473
S0006,Lucknow,North,A,High Footfall + Urban + High Income,297,29.9,7,Residential,724516.13,10943
S0033,Chennai,South,A,High Footfall + Urban + High Income,259,20.9,7,Urban,632030.42,9429
S0109,Kolkata,East,A,High Footfall + Urban + High Income,260,33.3,6,Near Schools,631045.06,9389
S0050,Bangalore,South,A,High Footfall + Urban + High Income,244,25.1,9,Hot Climate,614236.9,9173
S0027,Kolkata,East,A,High Footfall + Urban + High Income,251,40.7,7,Urban,607057.29,9131
S0024,Delhi,North,A,High Footfall + Urban + High Income,240,20.4,9,Industrial,588829.62,8826
S0087,Chandigarh,North,A,High Footfall + Urban + High Income,238,28.3,9,Hot Climate,582323.8,8672
S0095,Bhubaneswar,East,A,High Footfall + Urban + High Income,235,24.7,8,Residential,575139.04,8579
S0084,Patna,East,A,High Footfall + Urban + High Income,232,27.8,8,Urban,548766.45,8209
S0074,Hyderabad,South,A,High Footfall + Urban + High Income,190,36.2,9,Industrial,474884.04,6997
S0086,Chandigarh,North,A,High Footfall + Urban + High Income,176,35.6,8,Urban,429128.65,6407
S0040,Chennai,South,A,High Footfall + Urban + High Income,175,38.8,6,Near Schools,428245.12,6348
S0077,Chennai,South,A,High Footfall + Urban + High Income,173,23.8,7,Urban,415358.12,6249
S0114,Ahmedabad,West,A,High Footfall + Urban + High Income,160,34.5,9,Hot Climate,391036.99,5859
S0110,Patna,East,A,High Footfall + Urban + High Income,134,34.6,7,Residential,323317.88,4813
S0031,Pune,West,A,High Footfall + Urban + High Income,115,37.6,9,Urban,283079.66,4212
S0017,Kolkata,East,B,Residential + Medium Footfall,464,25.3,5,Urban,1132790.3,16803
S0081,Chennai,South,B,Residential + Medium Footfall,455,41.8,5,Hot Climate,1123306.67,16769
