sku_id,category,subcategory,brand,pack_size,pack_size_num,container,price,cost,margin_pct,seasonality,cluster_preference,sku_segment
SKU00001,Beverages,Cola,Campa Cola,200ml,200,Can,14.0,9.1,35,Summer,"A,B,C,D,E",Economy
SKU00002,Beverages,Cola,Campa Cola,250ml,250,Can,15.0,9.75,35,Summer,"A,B,C,D,E",Economy
SKU00003,Beverages,Cola,Campa Cola,300ml,300,Can,16.0,10.4,35,Summer,"A,B,C,D,E",Economy
SKU00004,Beverages,Cola,Campa Cola,500ml,500,PET,20.0,13.0,35,Summer,"A,B,C,D,E",Economy
SKU00005,Beverages,Cola,Campa Cola,600ml,600,PET,22.0,14.3,35,Summer,"A,B,C,D,E",Economy
SKU00006,Beverages,Cola,Campa Cola,750ml,750,PET,25.0,16.25,35,Summer,"A,B,C,D,E",Mid-Range
SKU00007,Beverages,Cola,Campa Cola,1000ml,1000,PET,30.0,19.5,35,Summer,"A,B,C,D,E",Mid-Range
SKU00008,Beverages,Cola,Campa Cola,1250ml,1250,PET,35.0,22.75,35,Summer,"A,B,C,D,E",Mid-Range
SKU00009,Beverages,Cola,Campa Cola,1500ml,1500,PET,40.0,26.0,35,Summer,"A,B,C,D,E",Mid-Range
SKU00010,Beverages,Cola,Campa Cola,2000ml,2000,PET,50.0,32.5,35,Summer,"A,B,C,D,E",Premium
SKU00011,Beverages,Cola,Thums Up,200ml,200,Can,14.0,9.1,35,Summer,"A,B,C,D,E",Economy
SKU00012,Beverages,Cola,Thums Up,250ml,250,Can,15.0,9.75,35,Summer,"A,B,C,D,E",Economy
SKU00013,Beverages,Cola,Thums Up,300ml,300,Can,16.0,10.4,35,Summer,"A,B,C,D,E",Economy
SKU00014,Beverages,Cola,Thums Up,500ml,500,PET,20.0,13.0,35,Summer,"A,B,C,D,E",Economy
SKU00015,Beverages,Cola,Thums Up,600ml,600,PET,22.0,14.3,35,Summer,"A,B,C,D,E",Economy
SKU00016,Beverages,Cola,Thums Up,750ml,750,PET,25.0,16.25,35,Summer,"A,B,C,D,E",Mid-Range
SKU00017,Beverages,Cola,Thums Up,1000ml,1000,PET,30.0,19.5,35,Summer,"A,B,C,D,E",Mid-Range
SKU00018,Beverages,Cola,Thums Up,1250ml,1250,PET,35.0,22.75,35,Summer,"A,B,C,D,E",Mid-Range
SKU00019,Beverages,Cola,Thums Up,1500ml,1500,PET,40.0,26.0,35,Summer,"A,B,C,D,E",Mid-Range
SKU00020,Beverages,Cola,Thums Up,2000ml,2000,PET,50.0,32.5,35,Summer,"A,B,C,D,E",Premium
SKU00021,Beverages,Cola,Coca-Cola,200ml,200,Can,14.0,9.1,35,Summer,"A,B,C,D,E",Economy
SKU00022,Beverages,Cola,Coca-Cola,250ml,250,Can,15.0,9.75,35,Summer,"A,B,C,D,E",Economy
SKU00023,Beverages,Cola,Coca-Cola,300ml,300,Can,16.0,10.4,35,Summer,"A,B,C,D,E",Economy
SKU00024,Beverages,Cola,Coca-Cola,500ml,500,PET,20.0,13.0,35,Summer,"A,B,C,D,E",Economy
SKU00025,Beverages,Cola,Coca-Cola,600ml,600,PET,22.0,14.3,35,Summer,"A,B,C,D,E",Economy
SKU00026,Beverages,Cola,Coca-Cola,750ml,750,PET,25.0,16.25,35,Summer,"A,B,C,D,E",Mid-Range
SKU00027,Beverages,Cola,Coca-Cola,1000ml,1000,PET,30.0,19.5,35,Summer,"A,B,C,D,E",Mid-Range
SKU00028,Beverages,Cola,Coca-Cola,1250ml,1250,PET,35.0,22.75,35,Summer,"A,B,C,D,E",Mid-Range
SKU00029,Beverages,Cola,Coca-Cola,1500ml,1500,PET,40.0,26.0,35,Summer,"A,B,C,D,E",Mid-Range
SKU00030,Beverages,Cola,Coca-Cola,2000ml,2000,PET,50.0,32.5,35,Summer,"A,B,C,D,E",Premium
SKU00031,Beverages,Cola,Pepsi,200ml,200,Can,14.0,9.1,35,Summer,"A,B,C,D,E",Economy
SKU00032,Beverages,Cola,Pepsi,250ml,250,Can,15.0,9.75,35,Summer,"A,B,C,D,E",Economy
SKU00033,Beverages,Cola,Pepsi,300ml,300,Can,16.0,10.4,35,Summer,"A,B,C,D,E",Economy
SKU00034,Beverages,Cola,Pepsi,500ml,500,PET,20.0,13.0,35,Summer,"A,B,C,D,E",Economy
SKU00035,Beverages,Cola,Pepsi,600ml,600,PET,22.0,14.3,35,Summer,"A,B,C,D,E",Economy
SKU00036,Beverages,Cola,Pepsi,750ml,750,PET,25.0,16.25,35,Summer,"A,B,C,D,E",Mid-Range
SKU00037,Beverages,Cola,Pepsi,1000ml,1000,PET,30.0,19.5,35,Summer,"A,B,C,D,E",Mid-Range
SKU00038,Beverages,Cola,Pepsi,1250ml,1250,PET,35.0,22.75,35,Summer,"A,B,C,D,E",Mid-Range
SKU00039,Beverages,Cola,Pepsi,1500ml,1500,PET,40.0,26.0,35,Summer,"A,B,C,D,E",Mid-Range
SKU00040,Beverages,Cola,Pepsi,2000ml,2000,PET,50.0,32.5,35,Summer,"A,B,C,D,E",Premium
SKU00041,Beverages,Cola,RC Cola,250ml,250,Can,15.0,9.75,35,Summer,"A,B,C,D,E",Economy
SKU00042,Beverages,Cola,RC Cola,500ml,500,PET,20.0,13.0,35,Summer,"A,B,C,D,E",Economy
