store_id,region,city,area_type,footfall,avg_temperature,population_density,income_level,school_distance,highway_distance,cooler_capacity,ml_cluster_numeric,cluster_label,cluster_persona
S0001,East,Kolkata,Near Schools,151,33.2,104886,3,0.71,3.01,330,1,E,Industrial Areas
S0002,South,Chennai,Residential,271,41.8,264176,5,0.61,1.57,710,1,E,Industrial Areas
S0003,West,Ahmedabad,Near Schools,443,31.3,81551,2,0.65,1.48,220,2,C,Near Schools
S0004,South,Bangalore,Industrial,93,37.8,257624,3,0.72,1.36,1155,0,D,Hot Climate + Low Footfall
S0005,North,Lucknow,Near Schools,285,28.6,250551,5,0.68,0.04,1329,0,D,Hot Climate + Low Footfall
S0006,North,Lucknow,Residential,297,29.9,87065,7,0.67,2.32,1494,3,A,High Footfall + Urban + High Income
S0007,East,Kolkata,Hot Climate,287,36.4,132798,6,0.78,2.09,387,1,E,Industrial Areas
S0008,North,Delhi,Hot Climate,144,20.3,314712,9,0.03,1.2,1286,0,D,Hot Climate + Low Footfall
S0009,North,Lucknow,Near Schools,368,33.3,184633,8,0.86,2.24,400,3,A,High Footfall + Urban + High Income
S0010,South,Bangalore,Hot Climate,178,33.0,323109,4,0.22,3.07,842,1,E,Industrial Areas
S0011,South,Hyderabad,Near Schools,472,35.6,268969,3,0.05,1.72,1063,2,C,Near Schools
S0012,West,Mumbai,Industrial,301,23.1,252982,6,0.03,2.19,724,2,C,Near Schools
S0013,East,Patna,Industrial,145,33.7,485773,2,0.56,1.04,1454,0,D,Hot Climate + Low Footfall
S0014,North,Delhi,Near Schools,200,38.0,105016,4,0.6,1.77,848,1,E,Industrial Areas
S0015,North,Lucknow,Residential,251,25.4,385674,7,0.72,0.54,1336,0,D,Hot Climate + Low Footfall
S0016,South,Chennai,Residential,466,26.6,266688,9,0.64,1.57,841,3,A,High Footfall + Urban + High Income
S0017,East,Kolkata,Urban,464,25.3,268164,5,1.39,0.06,446,4,B,Residential + Medium Footfall
S0018,East,Patna,Urban,334,37.7,418452,5,0.58,2.22,951,1,E,Industrial Areas
S0019,North,Lucknow,Hot Climate,338,33.0,368394,5,0.6,1.63,346,1,E,Industrial Areas
S0020,East,Kolkata,Urban,207,31.4,323255,2,1.07,2.87,350,1,E,Industrial Areas
S0021,South,Hyderabad,Industrial,223,38.0,157512,5,0.04,2.18,453,1,E,Industrial Areas
S0022,North,Lucknow,Urban,312,27.7,65151,9,0.85,3.22,786,3,A,High Footfall + Urban + High Income
S0023,West,Pune,Industrial,333,20.2,183629,2,0.67,0.78,1021,2,C,Near Schools
S0024,North,Delhi,Industrial,240,20.4,403556,9,0.91,3.27,1358,3,A,High Footfall + Urban + High Income
S0025,West,Mumbai,Industrial,450,34.0,460645,7,0.73,2.06,762,1,E,Industrial Areas
S0026,East,Patna,Residential,356,31.1,483006,9,0.45,2.5,1015,3,A,High Footfall + Urban + High Income
S0027,East,Kolkata,Urban,251,40.7,355628,7,0.51,2.71,1260,3,A,High Footfall + Urban + High Income
