store_id,cluster,city,region,area_type,footfall,similar_store_1,similarity_score_1,similar_city_1,similar_region_1,similar_area_1,similar_store_2,similarity_score_2,similar_city_2,similar_region_2,similar_area_2,similar_store_3,similarity_score_3,similar_city_3,similar_region_3,similar_area_3
S0001,E,Kolkata,East,Near Schools,151,S0107,0.9006,Chennai,South,Urban,S0078,0.8829,Mumbai,West,Residential,S0070,0.7819,Kolkata,East,Urban
S0002,E,Chennai,South,Residential,271,S0075,0.7508,Pune,West,Residential,S0014,0.7206,Delhi,North,Near Schools,S0060,0.6869,Bhubaneswar,East,Industrial
S0003,C,Ahmedabad,West,Near Schools,443,S0090,0.8446,Mumbai,West,Hot Climate,S0068,0.7903,Hyderabad,South,Near Schools,S0111,0.724,Patna,East,Urban
S0004,D,Bangalore,South,Industrial,93,S0105,0.8945,Hyderabad,South,Urban,S0070,0.7694,Kolkata,East,Urban,S0013,0.7412,Patna,East,Industrial
S0005,D,Lucknow,North,Near Schools,285,S0015,0.7956,Lucknow,North,Residential,S0066,0.781,Bangalore,South,Residential,S0032,0.6865,Bhubaneswar,East,Residential
S0006,A,Lucknow,North,Residential,297,S0045,0.9545,Bangalore,South,Hot Climate,S0050,0.9033,Bangalore,South,Hot Climate,S0114,0.831,Ahmedabad,West,Hot Climate
S0007,E,Kolkata,East,Hot Climate,287,S0107,0.8141,Chennai,South,Urban,S0090,0.77,Mumbai,West,Hot Climate,S0001,0.6738,Kolkata,East,Near Schools
S0008,D,Delhi,North,Hot Climate,144,S0117,0.9216,Hyderabad,South,Residential,S0083,0.751,Mumbai,West,Hot Climate,S0015,0.6689,Lucknow,North,Residential
S0009,A,Lucknow,North,Near Schools,368,S0116,0.8832,Lucknow,North,Urban,S0022,0.771,Lucknow,North,Urban,S0095,0.7511,Bhubaneswar,East,Residential
S0010,E,Bangalore,South,Hot Climate,178,S0118,0.8235,Bhubaneswar,East,Industrial,S0108,0.6849,Lucknow,North,Residential,S0035,0.683,Pune,West,Near Schools
S0011,C,Hyderabad,South,Near Schools,472,S0065,0.8035,Chandigarh,North,Urban,S0075,0.7783,Pune,West,Residential,S0051,0.7684,Ahmedabad,West,Near Schools
S0012,C,Mumbai,West,Industrial,301,S0079,0.6861,Pune,West,Hot Climate,S0111,0.6578,Patna,East,Urban,S0035,0.6467,Pune,West,Near Schools
S0013,D,Patna,East,Industrial,145,S0098,0.8826,Chennai,South,Industrial,S0105,0.8367,Hyderabad,South,Urban,S0028,0.8213,Chandigarh,North,Hot Climate
S0014,E,Delhi,North,Near Schools,200,S0070,0.769,Kolkata,East,Urban,S0004,0.7328,Bangalore,South,Industrial,S0002,0.7206,Chennai,South,Residential
S0015,D,Lucknow,North,Residential,251,S0066,0.9293,Bangalore,South,Residential,S0005,0.7956,Lucknow,North,Near Schools,S0036,0.7688,Kolkata,East,Industrial
S0016,A,Chennai,South,Residential,466,S0096,0.9103,Ahmedabad,West,Hot Climate,S0097,0.8285,Pune,West,Hot Climate,S0072,0.8052,Kolkata,East,Residential
S0017,B,Kolkata,East,Urban,464,S0092,0.8264,Bhubaneswar,East,Near Schools,S0032,0.6826,Bhubaneswar,East,Residential,S0063,0.638,Mumbai,West,Near Schools
S0018,E,Patna,East,Urban,334,S0075,0.737,Pune,West,Residential,S0104,0.707,Ahmedabad,West,Industrial,S0025,0.696,Mumbai,West,Industrial
S0019,E,Lucknow,North,Hot Climate,338,S0104,0.8486,Ahmedabad,West,Industrial,S0101,0.7895,Bhubaneswar,East,Near Schools,S0088,0.7717,Mumbai,West,Residential
S0020,E,Kolkata,East,Urban,207,S0112,0.8953,Delhi,North,Near Schools,S0078,0.8453,Mumbai,West,Residential,S0106,0.789,Chennai,South,Hot Climate
S0021,E,Hyderabad,South,Industrial,223,S0090,0.7067,Mumbai,West,Hot Climate,S0035,0.6935,Pune,West,Near Schools,S0014,0.6903,Delhi,North,Near Schools
S0022,A,Lucknow,North,Urban,312,S0074,0.8457,Hyderabad,South,Industrial,S0109,0.7893,Kolkata,East,Near Schools,S0009,0.771,Lucknow,North,Near Schools
S0023,C,Pune,West,Industrial,333,S0068,0.8514,Hyderabad,South,Near Schools,S0046,0.7388,Mumbai,West,Hot Climate,S0119,0.7152,Chandigarh,North,Industrial
S0024,A,Delhi,North,Industrial,240,S0077,0.9016,Chennai,South,Urban,S0087,0.8682,Chandigarh,North,Hot Climate,S0026,0.6721,Patna,East,Residential
S0025,E,Mumbai,West,Industrial,450,S0099,0.8259,Bhubaneswar,East,Residential,S0018,0.696,Patna,East,Urban,S0063,0.6889,Mumbai,West,Near Schools
S0026,A,Patna,East,Residential,356,S0120,0.791,Chandigarh,North,Urban,S0087,0.7536,Chandigarh,North,Hot Climate,S0096,0.7516,Ahmedabad,West,Hot Climate
S0027,A,Kolkata,East,Urban,251,S0110,0.8053,Patna,East,Residential,S0031,0.7985,Pune,West,Urban,S0114,0.7131,Ahmedabad,West,Hot Climate
S0028,D,Chandigarh,North,Hot Climate,174,S0053,0.8808,Chandigarh,North,Residential,S0052,0.8275,Mumbai,West,Urban,S0013,0.8213,Patna,East,Industrial
S0029,E,Pune,West,Urban,302,S0108,0.8088,Lucknow,North,Residential,S0099,0.7831,Bhubaneswar,East,Residential,S0088,0.6518,Mumbai,West,Residential
S0030,C,Bangalore,South,Urban,472,S0011,0.6646,Hyderabad,South,Near Schools,S0059,0.6385,Chandigarh,North,Urban,S0025,0.627,Mumbai,West,Industrial
S0031,A,Pune,West,Urban,115,S0027,0.7985,Kolkata,East,Urban,S0114,0.7752,Ahmedabad,West,Hot Climate,S0110,0.745,Patna,East,Residential
S0032,B,Bhubaneswar,East,Residential,367,S0103,0.7245,Bhubaneswar,East,Residential,S0055,0.7137,Lucknow,North,Industrial,S0080,0.7004,Lucknow,North,Residential
S0033,A,Chennai,South,Urban,259,S0095,0.8962,Bhubaneswar,East,Residential,S0076,0.8439,Bhubaneswar,East,Urban,S0097,0.8415,Pune,West,Hot Climate
S0034,B,Mumbai,West,Industrial,341,S0102,0.8666,Lucknow,North,Hot Climate,S0094,0.6391,Ahmedabad,West,Near Schools,S0089,0.5682,Chennai,South,Residential
S0035,E,Pune,West,Near Schools,224,S0106,0.7006,Chennai,South,Hot Climate,S0021,0.6935,Hyderabad,South,Industrial,S0078,0.6864,Mumbai,West,Residential
S0036,D,Kolkata,East,Industrial,208,S0066,0.7943,Bangalore,South,Residential,S0015,0.7688,Lucknow,North,Residential,S0083,0.7422,Mumbai,West,Hot Climate
S0037,B,Delhi,North,Urban,351,S0055,0.8727,Lucknow,North,Industrial,S0089,0.7896,Chennai,South,Residential,S0080,0.6716,Lucknow,North,Residential
